,Job_Role,Company,Location,Job Experience,Skills,Job_Description
872,Senior Data Engineer,Saras Analytics,Hyderabad/Secunderabad,1-3,"SAN, Data management, SOC, Consulting, Control-M, SQL, CRM, Python","As a Senior data engineer at Saras Analytics, you will be responsible for creating and ..."
873,Senior GCP Data Engineer,Techolution,Hyderabad/Secunderabad,2-7,"GCP, Project management, Artificial Intelligence, Cloud, Agile methodology, Troubleshooting, Apache, digital transformation",. AutoSys . Google Cloud Data Engineer certification At Least 2+ years of experience in...
874,Sr Azure Data Engineer,Nava Software Solutions,Hyderabad/Secunderabad,8-11,"Machine learning, Client coordination, ETL tool, Data warehousing, Client, Tools, Machine, ETL",Senior Azure Databricks engineer with Machine learning ops with industry experience of ...
875,"Senior R&D Engineer (C++, Data Structure & Algorithms)",Synopsys,"Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",4-9,"C++, Data Structures, Algorithms, EDA, Ansys, dassault, Cadence, keysight","Experience in designing, developing and maintaining large EDA softwareThe person is exp..."
876,Senior Staff Engineer (Big Data),Nagarro,Bangalore/Bengaluru,7-10,"Airflow, python, scala, Docker, spark, Java, Azure, SQL Server","Requirements: . Must have Skills: Spark, Python / Scala/Java, Airflow, DockerExperience..."
877,Data Engineer (Jr/Sr/Lead),Vizolt Tech Solutions,"Bangalore/ Bengaluru, Karnataka",3-8,"Airflow, SCALA, Spark, AWS, Python, Data Engineering, Jrss, SR","Role & responsibilities Design and build reusable components, frameworks and libraries ..."
878,"Data Engineer , Product",Mediamath,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-3,"Cloud computing, C++, Automation, Troubleshooting, Digital marketing, Analytics, Monitoring, SQL","Bachelor s Degree or higher, preferably with a concentration in a computational field s..."
879,AWS Data Engineer || bangalore/ Hyderabad,Premium,"Hyderabad/Secunderabad, Bangalore/Bengaluru",4-8,"Data Engineering, aws, PLSQL, Data Warehousing, Warehouse, Data, Engineering",Shift Timings: UK Timings [1PM-10 PM / 2 PM -11PM]. Job Type: Permanent Position
880,Infogain India is Hiring For GCP Data Engineer@ Bangalore,Infogain,Hybrid - Bangalore/Bengaluru,5-8,"Query, gcp, etl, data flow, fllow, Data, Flow, Hiring","Candidate with 5-8 years of experience, who have attained a bachelor s degree in comput..."
881,Aws Data Engineer,Thakral One,"Hybrid - Hyderabad/ Secunderabad, Telangana, Bangalore/ Bengaluru, Karnataka",8-9,"python, kafka, aws, big data, sql, Data","Hi, We are looking for an AWS Data EngineerSkills: Aws, Kafka, Python, Sql, Big data te..."
882,AZURE DATA ENGINEER,Acuvate Software,"Hyderabad/Secunderabad, Bangalore/Bengaluru",10-15,"Data modeling, RDBMS, data security, Postgresql, Machine learning, Data quality, Troubleshooting, Analytics",Senior Data Engineers are responsible for delivering high quality modern data solutions...
