,Job_Role,Company,Location,Job Experience,Skills,Job_Description
84,Senior Expert Data Science,Novartis,Hyderabad/Secunderabad,4-7,"Data analysis, GIT, Version control, Machine learning, Hypothesis Testing, Predictive modeling, Oracle, Forecasting","Minimum Requirements Experience with AWS serverless architecture- Lambda, SageMaker, Dy..."
85,Data Scientists,Pratibha Analytics,Hyderabad/Secunderabad,2-7,"Help Desk, Customer Service, customer relationship, access controls, Telephony support, Asset Management, Vendor Management, Information","""Data Scientists Practice Lead Analytics-"
86,Big Data Consultant,Sopra Steria,"Noida, Uttar Pradesh, Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",4-9,"spark, Cloudera, Hadoop, hive, scala, airflow, big data, cloudera hadoop",Candiate Profile: . Proficient in any two programming languages to build data pipeline ...
87,Applied Scientist,Flipkart,Bangalore/Bengaluru,2-5,"Machine Learning, Pytorch, Tensorflow, Mathematical Optimization, R, Statistical Modeling, Data Mining, Python",. Education: Btech / Mtech in Comp Science / Data Science / Pure science/ Mathematics a...
88,Data Scientist,Rockwell Automation,"Noida, New Delhi, Bangalore/Bengaluru",3-7,"Data analysis, Automation, metadata, Product service, Agile, Manager Technology, Saving, big data","Designs, develops and programs methods, processes, and systems to consolidate and analy..."
89,Data Scientist,Infosys,Bangalore/Bengaluru,3-5,"Data Science, R, SAS, SPSS, Business intelligence, Deep Learning, SQL, Python","Bachelor of Engineering experience in optimization (linear, mixed integer, constraint p..."
90,Sr. Data Scientist,Visa Inc,Bangalore/Bengaluru,6-8,"Logistic regression, Analytical, Consulting, Manager Quality Control, Data mining, Risk management, Stakeholder management, Portfolio management","A successful candidate should have accumulated a variety of industry experience, be cur..."
91,Data Scientist,Carbynetech India Pvt Ltd,Hyderabad/Secunderabad,2-5,"machine learning, PyTorch, Pandas, Scikit-learn, Keras, data visualization, Computer Vision, Deep Learning","Bachelors or Masters degree in Computer Science, Statistics, or a related field. 2+ yea..."
92,Senior Data Scientist,Blend360 India,Hyderabad/Secunderabad,5-8,"Predictive Modeling, Statistical Analysis Technique, Data Mining Algorithms, Python, SQL, Azure, GCP, Pricing Analytics",Required Skills and Experience . 5 - 7 Years of professional experience in Data Science...
93,Data Scientist,Venator Holdings,Hyderabad/Secunderabad,5-8,"Data analysis, data science, Analytical, Machine learning, HTML, Monitoring, Financial services, SQL",. 5 to 8 years of relevant experience in Data Analytics / Data Science / Model Validati...
94,Sr ML Engineer / Data Scientist,Infor,Hyderabad/Secunderabad,4-8,"Computer vision, Image processing, Analytical, Machine learning, Signal processing, Data collection, Natural language processing, Continuous improvement",. As an AI and ML researcher specializing in image processing and personal assistant te...
95,Data Scientist || HYD || WFO,Pranathi Software Services,"Hyderabad/ Secunderabad, Telangana",2-4,"Natural Language Processing, Deep Learning, Predictive Modeling, Neural Networks, machine learning, Machine, Predictive, Process",Greetings From Pranathi Software Services Pvt Ltd!!!! We are looking for a Machine Lear...
96,Drug Discovery Associate Data Scientist,Schrodinger,Hyderabad/Secunderabad,1-2,"Unix, Organic chemistry, Computational chemistry, Material science, Version control, Linux, MySQL, Clinical trials",". What you should have: . A Masters degree in physical science, such as chemistry, bioc..."
97,Data Scientist,Tata Nexarc,"Mumbai, Pune",3-6,"data science, Analytical, Machine learning, data visualization, Business intelligence, Data mining, Analytics, SQL",Tata Business Hub is looking for a competent Data Scientist who will be responsible for...
